alpha,phi,h
0.689286,0.096600,0.689950
0.689286,0.096600,0.689950
0.695238,0.197050,0.594067
0.482857,0.147500,0.787820
0.065306,0.222693,0.971429
0.407143,0.291050,0.713300
0.835714,0.468937,0.604488
0.607143,0.278225,0.783750
0.085714,0.120012,0.951975
0.523810,0.371567,0.880900
0.697143,0.154300,0.923480
0.407142,0.380517,0.541867
0.557143,0.193650,0.804200
0.607143,0.278225,0.783750
0.695238,0.197050,0.594067
0.695918,0.373693,0.851171
0.607143,0.278225,0.783750
0.482857,0.147500,0.787820
0.585714,0.260550,0.795000
0.085714,0.120012,0.951975
0.400000,0.232320,0.815200
0.600000,0.069629,0.890000
0.400000,0.232320,0.815200
0.482857,0.147500,0.787820
0.695238,0.197050,0.594067
0.900000,0.054975,0.437600
0.557143,0.193650,0.804200
0.267857,0.336112,0.594125
0.607143,0.278225,0.783750
0.600000,0.069629,0.890000
0.695238,0.197050,0.594067
0.695238,0.197050,0.594067
0.523810,0.371567,0.880900
0.892857,0.190863,0.158825
0.585714,0.186770,0.882760
0.585714,0.186770,0.882760
0.485714,0.264750,0.710150
0.485714,0.264750,0.710150
0.523810,0.371567,0.880900
0.400000,0.232320,0.815200
0.410204,0.099150,0.611829
0.406122,0.465757,0.912157
0.805714,0.021390,0.768100
0.482857,0.147500,0.787820
0.523810,0.371567,0.880900
0.853571,0.331100,0.286325
0.695238,0.197050,0.594067
0.607143,0.278225,0.783750
0.482857,0.147500,0.787820
0.908571,0.189310,0.505500
0.969047,0.143283,0.515617
0.132143,0.052038,0.804950
0.695238,0.197050,0.594067
0.697143,0.154300,0.923480
0.689286,0.096600,0.689950
0.482857,0.147500,0.787820
0.509524,0.045175,0.778133
0.602381,0.079017,0.429983
0.190476,0.139000,0.914367
0.607143,0.278225,0.783750
0.406122,0.465757,0.912157
0.585714,0.186770,0.882760
0.733333,0.055808,0.810283
0.887755,0.041586,0.942471
0.607143,0.278225,0.783750
0.695238,0.197050,0.594067
0.585714,0.186770,0.882760
0.887755,0.041586,0.942471
0.509524,0.045175,0.778133
0.695238,0.197050,0.594067
0.689286,0.096600,0.689950
0.848571,0.193400,0.763880
0.607143,0.278225,0.783750
0.407142,0.380517,0.541867
0.900000,0.054975,0.437600
0.733333,0.055808,0.810283
0.689286,0.096600,0.689950
0.695918,0.373693,0.851171
0.407142,0.380517,0.541867
0.771428,0.262967,0.639900
0.689286,0.096600,0.689950
0.695238,0.197050,0.594067
0.509524,0.045175,0.778133
